voyageID,captainName,fromPlace,toPlace,voyageStartDate,nationality,shipName
17580,,,,1777-12-26,Spanish,DESCONOCIDO-03,FRAGATA,
17581,Sir John Hamilton ,,,1780-10-05,British,Hector,,RN
17582,MR. LOTHE,,,1818-02-13,Spanish,DESCONOCIDO-11,PAQUEBOTE,
17583,,,,1836-04-09,French,La Cassares,Brick,
17584,,,,1836-08-08,French,La Cassares,Brick,
17585,,,,1837-01-01,French,La Cassares,Brick,
17586,,,,1837-05-28,French,La Cassares,Brick,
17587,,,,1837-07-25,French,La Cassares,Brick,
17588,,,,1837-07-26,French,Inconnu-2,,
17589,,,,1837-11-08,French,La Cassares,Brick,
17590,Basil Hall,Acapulco,St Blas,1822-03-13,British,Conway,6th rate,RN
17591,Pieter Jacob Gervais,Acara,Paramaribo,1787-10-03,Dutch,Thetis,5th Rate,ADM
17592,John Scaife,Accra,Barbados,1760-02-16,British,Chesterfield,5th Rate,RN
17593,,Accrah,Southsea,1751-05-13,British,Surprise,,RN
17594,Thomas Hankenson,Accraw,St Thomas,1752-12-25,British,Badger,Snow,RN
17595,Thomas Hankenson,Accraw,UK,1752-02-21,British,Badger,Snow,RN
17596,Samuel Hood Linzee,Achean,Simons Bay,1798-07-25,British,LOiseau,5th rate,RN
17597,Gearoge Davies,Achean Head,Bombay,1808-06-26,British,Saphire,,RN
17598,Thomas Butler,"Achean Head, Sumatra",Motherbank,1795-05-23,British,Walpole,,EIC
17599,Walter Bathurst,Acheen,Madras,1802-06-10,British,Terpsichore,5th rate,RN
17600,James Tweedale,"Acheen Head, Sumatra",St Helena,1807-07-13,British,Perseverence,,EIC
17601,Thomas Baddison,Acheen (Sumatra),St Helena,1762-01-30,British,Princess Augusta,,EIC
17602,John Bladen Tinker,Achin Road,Madras,1763-04-19,British,Argo,5th rate,RN
17603,F. Schut,Adelaide,Batavia,1853-02-13,Dutch,Walvisch,,
17604,,Afrika,Middelburg,1759-05-12,Dutch,Mercurius,,MER
17605,,Afrika,Suriname,1753-11-25,Dutch,Middelburgs Welvaren,,MCC
17606,E. Ippius Fockens,Aguadilla,St. Juan de Porte Rico,1850-05-02,Dutch,Venus,Brik,Marine
17607,G. Slichtenbree,Akijab,Nieuwediep,1848-05-30,Dutch,Eolus,,
17608,ANTONIO POSADAS,ALGECIRAS,CDIZ,1782-10-10,Spanish,EL RAYO,NAVO,
17609,H. Hofmeijer,Algoa Baai,Nederland,1818-03-13,Dutch,Amsterdam,,ADM
17610,H. Hofmeijer,Allerheiligen Baaij,Tafelbaai,1816-01-10,Dutch,Amsterdam,,MER
17611,P. Melvill,Allicanten,Lissabon,1780-07-13,Dutch,Castor,Fregat,ADM
17612,G. W. Moll,Amboina,Ternate,1838-07-23,Dutch,Hippomenes,Korvet,MER
17613,,Ambon,Ambon,1825-08-15,Dutch,Maria Reigersbergen,Fregat,ADM
17614,N.L. Koops,Ambon,Soerabaja,1834-09-11,Dutch,Ajax,Korvet,ADM
17615,C. Eeg,Ambon,Soerabaya,1825-08-18,Dutch,Pollux,,ADM
17616,,Ambon,Sourabaija,1825-08-15,Dutch,Maria Reigersbergen,Fregat,ADM
17617,N.L. Koops,Ambon,Ternatten,1834-07-04,Dutch,Ajax,Korvet,ADM
17618,Gerhard Aalbers,Amsterdam,Batavia,1789-04-14,Dutch,Zwaluw,Brik,ADM
17619,Hoffman,Amsterdam,Batavia,1835-04-01,Dutch,Henriette Clasina,,
17620,Hoffman,Amsterdam,Batavia,1836-04-15,Dutch,Henriette Clasina,,
17621,H. Rollfs,Amsterdam,Batavia,1837-12-08,Dutch,Stad Utrecht,,
